Sample	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
logs | bowtie2 | G-t0-1	99.03															
logs | bowtie2 | G-t0-2	99.03															
logs | bowtie2 | G-t10-1	99.08															
logs | bowtie2 | G-t10-2	99.31															
logs | bowtie2 | G-t20-1	99.3															
logs | bowtie2 | G-t20-2	99.17															
logs | bowtie2 | G-t30-1	98.96															
logs | bowtie2 | G-t30-2	99.3															
logs | bowtie2 | G-t5-1	99.22															
logs | bowtie2 | G-t5-2	99.12															
logs | bowtie2 | G_M-t10-1	99.13															
logs | bowtie2 | G_M-t10-2	98.22															
logs | bowtie2 | G_M-t20-1	99.3															
logs | bowtie2 | G_M-t20-2	99.39															
logs | bowtie2 | G_M-t30-1	99.18															
logs | bowtie2 | G_M-t30-2	99.03															
logs | bowtie2 | G_M-t5-1	99.02															
logs | bowtie2 | G_M-t5-2	98.22															
qc | fastqc | G1_0_1		87.85742304693137	43.0	150.0	18.181818181818183	8421460.0										
qc | fastqc | G1_0_2		87.44592371161276	42.0	150.0	9.090909090909092	8421460.0										
qc | fastqc | G1_10M_1		85.48112350407249	41.0	150.0	18.181818181818183	8490337.0										
qc | fastqc | G1_10M_2		84.9029773470259	40.0	150.0	9.090909090909092	8490337.0										
qc | fastqc | G1_10_1		85.93561864675503	41.0	150.0	18.181818181818183	8617172.0										
qc | fastqc | G1_10_2		85.98705489045439	41.0	150.0	9.090909090909092	8617172.0										
qc | fastqc | G1_20M_1		83.0996638943991	40.0	150.0	18.181818181818183	6548778.0										
qc | fastqc | G1_20M_2		83.11461683635119	40.0	150.0	9.090909090909092	6548778.0										
qc | fastqc | G1_20_1		85.67957639391688	41.0	150.0	18.181818181818183	8773023.0										
qc | fastqc | G1_20_2		85.86125186676459	40.0	150.0	9.090909090909092	8773023.0										
