geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HIS92_RS25235	1043.20956360871	5.67298513573324	0.546509449527239	161.462174838093	7.10103238068975e-34	3.27783654692639e-30
HIS92_RS25325	283.557822651285	5.03975870141814	0.539916938163147	130.905531409246	2.49309076381736e-27	5.75405348289047e-24
HIS92_RS11675	4114.47919850757	2.21488136729083	0.260978310450402	118.774371265025	9.75927989417382e-25	1.50162786638355e-21
HIS92_RS25245	742.54613390694	4.54757655844149	0.545395918024522	97.4212085083322	3.48098702461034e-20	4.01705902640033e-17
HIS92_RS11680	2177.51685659248	2.1397861410457	0.285158970027219	84.1284173149143	2.32200294127985e-17	2.14367311538956e-14
HIS92_RS04600	3804.07503085624	2.20242547632546	0.346143324552659	78.8066116619592	3.11730007325489e-16	2.39824285635743e-13
HIS92_RS26215	1820.18638524982	4.65903974384683	0.695236518649858	70.6921056338816	1.62129318768565e-14	1.06912705062243e-11
HIS92_RS25490	487.516867329943	3.04383743153289	0.455309099919759	62.7666529613011	7.59829138167301e-13	3.50737130178026e-10
HIS92_RS25500	239.429151898426	2.66778886826977	0.405133153421624	63.0809376900226	6.52487550847283e-13	3.50737130178026e-10
HIS92_RS25505	796.073636513668	2.87009448547949	0.425973729095929	62.9708728645932	6.88236027097889e-13	3.50737130178026e-10
HIS92_RS06675	315.252036136996	2.1236459345531	0.341629723519338	56.7976139823421	1.36422039564458e-11	5.72476486026852e-09
HIS92_RS25315	5171.08586292289	5.13458170997118	0.883595925602766	49.9199369899097	3.75255939765075e-10	1.44348451496299e-07
HIS92_RS25495	597.458927110139	2.92398764837561	0.500482092579188	49.4996433443687	4.5926488976136e-10	1.63074363933726e-07
HIS92_RS25250	224.687420890942	4.10147391199636	0.670934827564936	47.2510511094671	1.35191730575461e-09	4.45746448811662e-07
HIS92_RS25480	450.845022549231	2.97421697983312	0.53286212291891	45.9616754854125	2.50849551818197e-09	7.71947687461865e-07
HIS92_RS21025	821.466799136041	3.72687532570235	0.71555150907467	44.5382409524863	4.95933937249785e-09	1.43076940896563e-06
HIS92_RS25485	210.747408188469	2.98235377662854	0.573320927181782	43.8760003208703	6.80774277259129e-09	1.84850239048714e-06
HIS92_RS26165	181.121502136058	1.84415035738019	0.391922067283394	39.4866572117317	5.52662222723641e-08	1.41727156671796e-05
HIS92_RS26130	51.8819607714765	2.49095738447503	0.508413880847202	38.8495962234498	7.48298957959734e-08	1.81797262628533e-05
HIS92_RS03705	1558.92010638877	1.46273896701022	0.31760324986145	37.7977658780092	1.23352547376859e-07	2.84697679345791e-05
HIS92_RS09140	202.660080060736	1.9952853770594	0.407367622801074	34.8893824655328	4.89483716186948e-07	0.000107593182567569
HIS92_RS21020	1169.63471989697	3.91043806823385	0.935976935201741	34.0324386692583	7.33860479877499e-07	0.000153977271596115
HIS92_RS26080	27.6703722790561	3.88978647380211	0.869332229234397	31.4418833406223	2.48738215416535e-06	0.000499206783635968
HIS92_RS19285	1744.85401583036	1.33425502585511	0.339921218786908	29.9518697422598	5.00611019959563e-06	0.000962841861722226
CAD59945.1	3663.14576043922	3.64053446750655	0.75420237091783	29.2141207506143	7.07221398322267e-06	0.00130581358986223
HIS92_RS03700	2166.10857716152	1.539593242291	0.400063790669371	27.9766184504406	1.26097691761338e-05	0.00216615082433259
HIS92_RS25320	94.4266541184679	4.89528876817809	1.09792620497474	27.9663571732582	1.26702929499523e-05	0.00216615082433259
HIS92_RS26085	17.9319828345602	3.59624184569171	0.824513354026982	27.1995216329375	1.81152638160088e-05	0.00298643063481059
HIS92_RS25240	21.1175055824169	5.64622725048001	1.46814019857622	26.4750129357402	2.53780308641526e-05	0.00403948242996304
HIS92_RS15265	2266.29933645196	1.26951219153608	0.335731518761266	26.2203404572031	2.85665416195906e-05	0.00439543853720101
HIS92_RS15275	1311.97921942859	1.10586633924519	0.286149247189667	26.0656447192823	3.06946151906766e-05	0.00457052721677946
HIS92_RS26095	32.3622243579792	3.18960485636085	0.776454359169273	25.012577097368	5.0017723103234e-05	0.0072150565576415
HIS92_RS16280	341.8298717245	2.62351672686357	0.654813741101573	24.5960260682072	6.0649546133828e-05	0.00848358499859848
CAD59946.1	5904.07078853519	2.88050102815033	0.684275597917625	24.2734147026591	7.04014321642766e-05	0.00955802973147943
HIS92_RS04025	385.921189449231	1.63226888563492	0.450890452608648	23.4413535046126	0.000103343931448042	0.0136295882161189
HIS92_RS02195	122.752762937531	1.46695077462361	0.42402687594347	22.9090923022579	0.000132032765569483	0.0169295346074648
